Cheftestant,Hometown,Pick,Team,team_url,chef_url,status,Week,qf_win,qf_top3,qf_points,elim_win,elim_top3,elim_middle,elim_bottom,eliminated,elim_points,lck_win,lck_loss,lck_points,weekly_points
Brittany Anderson,"Richmond, VA",5,Zach,https://pbs.twimg.com/profile_images/1206433249670512640/eZ4MWxvB_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-brittanny-anderson.jpg,,1,,,0,,,1,,,2,,,0,2
Avishar Barua,"Columbus, OH",1,Chris,https://pbs.twimg.com/profile_images/1201694899948539904/oK8iHv0C_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-avishar-barua.jpg,,1,,,0,,,,1,,0,,,0,0
Dawn Burrell,"Houston, TX",4,Dan,https://pbs.twimg.com/profile_images/1343973362012327936/KA2B3s_W_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-dawn-burrell.jpg,,1,,,0,,,1,,,2,,,0,2
Gabe Erales,"Austin, TX",14,Zach,https://pbs.twimg.com/profile_images/1206433249670512640/eZ4MWxvB_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabe-erales.jpg,,1,,,0,,1,,,,5,,,0,5
Nelson German,"Oakland, CA",13,Dan,https://pbs.twimg.com/profile_images/1343973362012327936/KA2B3s_W_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-nelson-german.jpg,,1,,,0,,,1,,,2,,,0,2
Byron Gomez,"Aspen, CO",2,Zach,https://pbs.twimg.com/profile_images/1206433249670512640/eZ4MWxvB_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-byron-gomez.jpg,,1,,,0,,,1,,,2,,,0,2
Sasha Grumman,"Houston, TX",12,Dan,https://pbs.twimg.com/profile_images/1343973362012327936/KA2B3s_W_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sasha-grumman.jpg,,1,1,,3,,,,1,,0,,,0,3
Roscoe Hall,"Birmingham, AL",8,Zach,https://pbs.twimg.com/profile_images/1206433249670512640/eZ4MWxvB_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-roscoe-hall.jpg,LCK,1,,,0,,,,,1,-5,,,0,-5
Sara Hauman,"Portland, OR",7,Dan,https://pbs.twimg.com/profile_images/1343973362012327936/KA2B3s_W_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sara-hauman.jpg,,1,1,,3,1,,,,,10,,,0,13
Kiki Louya,"Detroit, MI",6,Chris,https://pbs.twimg.com/profile_images/1201694899948539904/oK8iHv0C_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-kiki-louya.jpg,,1,1,,3,,,1,,,2,,,0,5
Maria Mazon,"Tucson, AZ",10,Chris,https://pbs.twimg.com/profile_images/1201694899948539904/oK8iHv0C_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-maria-mazon.jpg,,1,,,0,,,1,,,2,,,0,2
Shota Nakajima,"Seattle, WA",3,Dan,https://pbs.twimg.com/profile_images/1343973362012327936/KA2B3s_W_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-shota-nakajima.jpg,,1,,,0,,1,,,,5,,,0,5
Gabriel Pascuzzi,"Portland, OR",11,Zach,https://pbs.twimg.com/profile_images/1206433249670512640/eZ4MWxvB_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabriel-pascuzzi.jpg,,1,,,0,,1,,,,5,,,0,5
Jamie Tran,"Las Vegas, NV",9,Chris,https://pbs.twimg.com/profile_images/1201694899948539904/oK8iHv0C_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-jamie-tran.jpg,,1,,,0,,,,1,,0,,,0,0
Chris Viaud,"Milford, NH",15,Chris,https://pbs.twimg.com/profile_images/1201694899948539904/oK8iHv0C_400x400.jpg,https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-chris-viaud.jpg,,1,,,0,,,1,,,2,,,0,2
